Unnamed: 0,url,Title,author,num_reviews,num_ratings,avg_rating,Nº pages,Publication_year,Series,genres,Awards,places,Rating,mean_norm_rating
1.0,https://www.goodreads.com/book/show/8664353-unbroken,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,47532,846842,4.35,492,2010,0,Nonfiction;History;Biography;War;World War II;War;Historical;Audiobook;War;Military Fiction;Autobiography;Memoir;Biography Memoir,7.0,,8.829999999999998,1.6386659793814422
2.0,https://www.goodreads.com/book/show/10884.Einstein,Einstein: His Life and Universe,Walter Isaacson,3835,158267,4.12,675,2007,0,Biography;Nonfiction;Science;History;Science;Physics;Biography Memoir;Audiobook;Biography;Autobiography;Autobiography;Memoir;Historical,1.0,Europe,8.416,1.224665979381443
3.0,https://www.goodreads.com/book/show/1845.Into_the_Wild,Into the Wild,Jon Krakauer,23430,954182,3.99,207,1997,0,Nonfiction;Biography;Travel;Adventure;Classics;Autobiography;Memoir;Environment;Nature;Academic;School;Biography Memoir;Adventure;Survival,1.0,"Mexico;Virginia;The Slabs, Mojave Desert, California;…more;Alaska;…less",8.182,0.9906659793814432
4.0,https://www.goodreads.com/book/show/2203.John_Adams,John Adams,David McCullough,6621,344140,4.04,751,2001,0,History;Biography;Nonfiction;North American Hi...;American History;Politics;Presidents;Politics;Historical;Biography Memoir;Military History;American Revolution;Audiobook,6.0,"Boston, Massachusetts;Philadelphia, Pennsylvania",8.272,1.0806659793814428
5.0,https://www.goodreads.com/book/show/2199.Team_of_Rivals,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,7506,178122,4.22,916,2006,0,History;Nonfiction;Biography;Politics;North American Hi...;American History;Military History;Civil War;Leadership;Politics;Presidents;Historical;Audiobook,4.0,"Springfield, Illinois;Chicago, Illinois;Illinois",8.596,1.4046659793814422
6.0,https://www.goodreads.com/book/show/17157.Marie_Antoinette,Marie Antoinette: The Journey,Antonia Fraser,1259,38279,3.88,512,2006,0,History;Biography;Nonfiction;Cultural;France;Historical;Biography Memoir;European History;French Revolution;Literature;18th Century;History;European History;Audiobook,1.0,France,7.984,0.7926659793814426
7.0,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,The Immortal Life of Henrietta Lacks,Rebecca Skloot,36622,647163,4.07,370,2010,0,Nonfiction;Science;History;Biography;Health;Medicine;Audiobook;Medical;Book Club;Biography Memoir;Historical,7.0,"Baltimore, Maryland;Clover, Virginia",8.326,1.1346659793814433
8.0,https://www.goodreads.com/book/show/10414941-catherine-the-great,Catherine the Great: Portrait of a Woman,Robert K. Massie,4165,104430,3.9,625,2011,1,History;Biography;Nonfiction;Cultural;Russia;Historical;Biography Memoir;History;Russian History;Audiobook;Literature;18th Century;History;European History,3.0,,8.02,0.8286659793814426
9.0,https://www.goodreads.com/book/show/2279.Truman,Truman,David McCullough,2481,84692,4.1,1120,1993,0,Biography;History;Politics;Presidents;Nonfiction;North American Hi...;American History;Politics;Biography Memoir;Presidents;Us Presidents;Historical;War;World War II,5.0,,8.379999999999999,1.188665979381442
10.0,https://www.goodreads.com/book/show/16130.Alexander_Hamilton,Alexander Hamilton,Ron Chernow,9071,159904,4.17,818,2005,0,History;Biography;Nonfiction;North American Hi...;American History;Politics;Audiobook;Historical;Biography Memoir;Military History;American Revolution;Unfinished,2.0,United States of America,8.506,1.3146659793814426
11.0,https://www.goodreads.com/book/show/207897.Martin_Heidegger,Martin Heidegger: Between Good and Evil,Rüdiger Safranski,44,3159,3.73,496,1999,0,Philosophy;Biography;Nonfiction;History;European Literature;German Literature;Cultural;Germany;History;European History;Autobiography;Memoir;Classics;War,,,7.714,0.5226659793814428
12.0,https://www.goodreads.com/book/show/5294.Oscar_Wilde,Oscar Wilde,Richard Ellmann,176,6641,3.82,736,1988,0,Biography;Nonfiction;History;Biography Memoir;Classics;Literature;LGBT;Cultural;Ireland;Criticism;Literary Criticism;LGBT;Gay,2.0,,7.876,0.6846659793814425
13.0,https://www.goodreads.com/book/show/51411855-mary-edwards-walker,Mary Edwards Walker: America's Only Female Medal of Honor Recipient,Ammar Habib,1265,9318,4.25,311,2020,0,Biography;History;Nonfiction;Military History;Civil War;North American Hi...;American History;Military;Military History;American Civil War;Civil War History;Feminism;American History;American Civil War;Literature;American,,,8.649999999999999,1.4586659793814427
14.0,https://www.goodreads.com/book/show/25541028-elon-musk,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,10711,303256,4.21,392,2015,0,Biography;Nonfiction;Business;Science;Science;Technology;Audiobook;Biography Memoir;Business;Entrepreneurship;Leadership;Biography;Autobiography,2.0,,8.578,1.3866659793814426
15.0,https://www.goodreads.com/book/show/1848.Wild_Swans,Wild Swans: Three Daughters of China,Jung Chang,6263,104845,4.23,562,2003,0,Nonfiction;History;Cultural;China;Biography;Autobiography;Memoir;Cultural;Asia;Historical;Biography;Autobiography;Biography Memoir;Literature;Asian Literature,2.0,China,8.614,1.4226659793814436
16.0,https://www.goodreads.com/book/show/7968243-cleopatra,Cleopatra: A Life,Stacy Schiff,5402,112594,3.69,369,2010,0,History;Biography;Nonfiction;Historical;Northern Africa;Egypt;Biography Memoir;Audiobook;Cultural;Africa;History;Ancient History;Womens,2.0,Alexandria;Ptolemaic Egypt;Rome,7.6419999999999995,0.4506659793814426
17.0,https://www.goodreads.com/book/show/7501962-bonhoeffer,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,4084,66871,4.18,608,2010,0,Biography;History;Nonfiction;Christian;Religion;Religion;Christianity;Religion;Theology;Biography Memoir;War;World War II;Religion;Faith,3.0,,8.524000000000001,1.3326659793814422
18.0,https://www.goodreads.com/book/show/40929.The_Rise_of_Theodore_Roosevelt,The Rise of Theodore Roosevelt,Edmund Morris,1932,52358,4.17,816,2001,1,Biography;History;Nonfiction;Politics;Presidents;Politics;North American Hi...;American History;Biography Memoir;Historical;Presidents;Us Presidents;Literature;American,2.0,,8.506,1.3146659793814426
19.0,https://www.goodreads.com/book/show/18728.No_Ordinary_Time,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin,1540,44816,4.14,633,1995,0,History;Biography;Nonfiction;North American Hi...;American History;Politics;Presidents;Politics;War;World War II;Biography Memoir;Historical;War,2.0,,8.452,1.260665979381442
20.0,https://www.goodreads.com/book/show/78508.The_River_of_Doubt,The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4564,61655,4.1,416,2006,0,History;Nonfiction;Biography;Adventure;Travel;Politics;Presidents;North American Hi...;American History;Historical;Audiobook;Biography Memoir,1.0,,8.379999999999999,1.188665979381442
21.0,https://www.goodreads.com/book/show/10335318-destiny-of-the-republic,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,6599,69706,4.1,339,2011,0,History;Nonfiction;Biography;North American Hi...;American History;Politics;Presidents;Politics;Historical;Audiobook;Crime;True Crime;Biography Memoir,3.0,,8.379999999999999,1.188665979381442
22.0,https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,15300,185116,3.83,448,2011,0,History;Nonfiction;War;World War II;Historical;Biography;War;Cultural;Germany;Audiobook;Politics;World War II;Holocaust,3.0,Berlin,7.894,0.7026659793814429
23.0,https://www.goodreads.com/book/show/2852263-nicholas-and-alexandra,Nicholas And Alexandra,Robert K. Massie,1347,30187,4.13,584,1967,1,History;Nonfiction;Biography;Cultural;Russia;History;Russian History;Historical;Biography Memoir;Russian History;Romanovs;History;European History;Politics,,Russian Federation,8.434,1.2426659793814425
24.0,https://www.goodreads.com/book/show/10883.Benjamin_Franklin,Benjamin Franklin: An American Life,Walter Isaacson,2329,127974,4.0,586,2004,0,Biography;History;Nonfiction;North American Hi...;American History;Biography Memoir;Politics;Military History;American Revolution;Historical;Business;Audiobook,,United States of America,8.2,1.0086659793814428
25.0,https://www.goodreads.com/book/show/1111.The_Power_Broker,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,1770,18556,4.33,1246,1975,0,History;Biography;Nonfiction;Politics;New York;Business;North American Hi...;American History;Geography;Cities;Cities;Urban Planning;Biography Memoir,3.0,"New York City, New York",8.794,1.602665979381443
26.0,https://www.goodreads.com/book/show/10104.The_Six_Wives_of_Henry_VIII,The Six Wives of Henry VIII,Alison Weir,1696,68951,4.07,643,1992,0,History;Nonfiction;Biography;Historical;English History;Tudor Period;European Literature;British Literature;Biography Memoir;History;European History;Audiobook;Literature;16th Century,,,8.326,1.1346659793814433
27.0,https://www.goodreads.com/book/show/49627156-tesla,Tesla: Inventor of the Modern,Richard Munson,147,2858,3.64,320,2019,0,Biography;Science;History;Nonfiction;Science;Technology;Audiobook;Biography Memoir;Science;Physics;Historical;North American Hi...;American History,,,7.552,0.36066597938144296
28.0,https://www.goodreads.com/book/show/13533740-thomas-jefferson,Thomas Jefferson: The Art of Power,Jon Meacham,2075,38721,3.96,759,2012,0,Biography;History;Nonfiction;Politics;Presidents;North American Hi...;American History;Politics;Presidents;Us Presidents;Military History;American Revolution;Biography Memoir;Audiobook,3.0,United States of America;Monticello;Virginia,8.128,0.9366659793814427
29.0,https://www.goodreads.com/book/show/130363.Peter_the_Great,Peter the Great: His Life and World,Robert K. Massie,833,21968,4.04,909,2001,1,History;Biography;Nonfiction;Cultural;Russia;History;Russian History;Biography Memoir;Historical;History;European History;History;World History;Literature;17th Century,2.0,Russia,8.272,1.0806659793814428
30.0,https://www.goodreads.com/book/show/16121.Titan,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,1302,27507,4.09,832,2004,0,Biography;History;Nonfiction;Business;North American Hi...;American History;Biography Memoir;Audiobook;Economics;Finance;Economics;Leadership,1.0,,8.361999999999998,1.1706659793814425
31.0,https://www.goodreads.com/book/show/530793.The_Wives_of_Henry_VIII,The Wives of Henry VIII,Antonia Fraser,437,19560,4.04,482,1993,0,History;Nonfiction;Biography;Historical;English History;Tudor Period;European Literature;British Literature;Biography Memoir;History;European History;Literature;16th Century;Womens,,England,8.272,1.0806659793814428
32.0,https://www.goodreads.com/book/show/45546.Undaunted_Courage,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,2692,59474,4.15,592,2003,0,History;Nonfiction;Biography;North American Hi...;American History;Adventure;Historical;Travel;Westerns;Audiobook;Literature;American,3.0,United States of America,8.47,1.2786659793814434
33.0,https://www.goodreads.com/book/show/40923.Theodore_Rex,Theodore Rex,Edmund Morris,1176,49721,4.12,772,2002,1,Biography;History;Nonfiction;Politics;Presidents;North American Hi...;American History;Politics;Biography Memoir;Presidents;Us Presidents;Historical;Literature;American,1.0,United States of America,8.416,1.224665979381443
36.0,https://www.goodreads.com/book/show/309627.Encounters_and_Dialogues_with_Martin_Heidegger_1929_1976,"Encounters and Dialogues with Martin Heidegger, 1929-1976",Heinrich Wiegand Petzet,3,2311,3.61,284,1993,0,Philosophy;Biography,,,7.497999999999999,0.30666597938144247
